"GBD 2017 sequelae, health states, health state lay descriptions, and disability weights",,,
Sequela,Health state name,Health state lay description,Disability Weight
Mild symptomatic gastritis and duodenitis without anemia,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,"0.011
(0.005-0.021)"
Mild symptomatic gastritis and duodenitis with severe anemia,Mild abdominal pain with severe anemia,(combined DW),--
Moderate symptomatic gastritis and duodenitis with moderate anemia,Moderate abdominal pain with moderate anemia,(combined DW),--
Mild symptomatic gastritis and duodenitis with moderate anemia,Mild abdominal pain with moderate anemia,(combined DW),--
Moderate symptomatic gastritis and duodenitis with mild anemia,Moderate abdominal pain with mild anemia,(combined DW),--
Mild symptomatic gastritis and duodenitis with mild anemia,Mild abdominal pain with mild anemia,(combined DW),--
Moderate symptomatic gastritis and duodenitis with severe anemia,Moderate abdominal pain with severe anemia,(combined DW),--
Mild anemia due to gastritis and duodenitis,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.","0.004
(0.001-0.008)"
Severe or very severe gastroesophageal reflux disease symptoms (typical),Often has a burning sensation in the back of the chest after eating,Standard,"0.026
(0.015-0.042)"
Mild to moderate gastroesophageal reflux disease symptoms (typical),"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.","0.004
(0.001-0.008)"
Appendicitis,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,"0.324
(0.220-0.442)"
Paralytic ileus and intestinal obstruction,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,"0.324
(0.220-0.442)"
"Mild symptomatic inguinal, femoral and abdominal hernia","Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,"0.011
(0.005-0.021)"
"Moderate symptomatic inguinal, femoral and abdominal hernia","Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,"0.114
(0.078-0.159)"
"Severe symptomatic inguinal, femoral and abdominal hernia","Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,"0.324
(0.220-0.442)"
Crohn's disease with severe anemia,Crohn disease or ulcerative colitis,"has cramping abdominal pain, has diarrhea several times a day, and feels very tired for two months every year. When the person does not have symptoms, there is anxiety about them returning.","0.231
(0.156-0.320)"
Asymptomatic ulcerative colitis,--,--,--
Asymptomatic Crohn's disease,--,--,--
Crohn's disease without anemia,Crohn disease or ulcerative colitis,"has cramping abdominal pain, has diarrhea several times a day, and feels very tired for two months every year. When the person does not have symptoms, there is anxiety about them returning.","0.231
(0.156-0.320)"
Ulcerative colitis with mild anemia,Crohn disease or ulcerative colitis,"has cramping abdominal pain, has diarrhea several times a day, and feels very tired for two months every year. When the person does not have symptoms, there is anxiety about them returning.","0.231
(0.156-0.320)"
Ulcerative colitis with severe anemia,Crohn disease or ulcerative colitis,"has cramping abdominal pain, has diarrhea several times a day, and feels very tired for two months every year. When the person does not have symptoms, there is anxiety about them returning.","0.231
(0.156-0.320)"
Ulcerative colitis without anemia,Crohn disease or ulcerative colitis,"has cramping abdominal pain, has diarrhea several times a day, and feels very tired for two months every year. When the person does not have symptoms, there is anxiety about them returning.","0.231
(0.156-0.320)"
Crohn's disease with mild anemia,Crohn disease or ulcerative colitis,"has cramping abdominal pain, has diarrhea several times a day, and feels very tired for two months every year. When the person does not have symptoms, there is anxiety about them returning.","0.231
(0.156-0.320)"
Crohn's disease with moderate anemia,Crohn disease or ulcerative colitis,"has cramping abdominal pain, has diarrhea several times a day, and feels very tired for two months every year. When the person does not have symptoms, there is anxiety about them returning.","0.231
(0.156-0.320)"
Ulcerative colitis with moderate anemia,Crohn disease or ulcerative colitis,"has cramping abdominal pain, has diarrhea several times a day, and feels very tired for two months every year. When the person does not have symptoms, there is anxiety about them returning.","0.231
(0.156-0.320)"
Vascular intestinal disorders,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,"0.324
(0.220-0.442)"
Severe symptomatic episodes gallbladder and biliary diseases,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,"0.324
(0.220-0.442)"
Moderate symptomatic episodes gallbladder and biliary diseases ,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,"0.114
(0.078-0.159)"
Mild symptomatic episodes gallbladder and biliary diseases,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,"0.011
(0.005-0.021)"
Asymptomatic gallbladder and biliary diseases,--,--,--
Moderate chronic pancreatitis,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,"0.114
(0.078-0.159)"
Mild chronic pancreatitis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,"0.011
(0.005-0.021)"
Acute pancreatitis,"Infectious disease, acute episode, severe and abdominopelvic problem, severe",(combined DW),--
Severe chronic pancreatitis,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,"0.324
(0.220-0.442)"
Other digestive diseases,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",--,--
Mild Alzheimer disease and other dementias,"Dementia, mild","has some trouble remembering recent events, and finds it hard to concentrate and make decisions and plans.","0.069
(0.046-0.099)"
Moderate Alzheimer disease and other dementias,"Dementia, moderate","has memory problems and confusion, feels disoriented, at times hears voices that are not real, and needs help with some daily activities.","0.377
(0.252-0.508)"
Severe Alzheimer disease and other dementias,"Dementia, severe",has complete memory loss; no longer recognizes close family members; and requires help with all daily activities.,"0.449
(0.304-0.595)"
Mild Parkinson disease,"Parkinson disease, mild","has mild tremors and moves a little slowly, but is able to walk and do daily activities without assistance. ","0.010
(0.005-0.019)"
Moderate Parkinson disease,"Parkinson disease, moderate","has moderate tremors and moves slowly, which causes some difficulty in walking and daily activities. The person has some trouble swallowing, talking, sleeping, and remembering things.","0.267
(0.181-0.372)"
Severe Parkinson disease,"Parkinson disease, severe","has severe tremors and moves very slowly, which causes great difficulty in walking and daily activities. The person falls easily and has a lot of difficulty talking, swallowing, sleeping, and remembering things. ","0.575
(0.396-0.730)"
"Idiopathic, severe epilepsy","Epilepsy, seizures >= once a month","has sudden seizures one or more times each month, with violent muscle contractions and stiffness, loss of consciousness, and loss of urine or bowel control. Between seizures the person has memory loss and difficulty concentrating.","0.552
(0.375-0.710)"
"Idiopathic, seizure-free, treated epilepsy",Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,"0.049
(0.031-0.072)"
"Idiopathic, less severe epilepsy","Epilepsy, seizures 1-11 per year","has sudden seizures two to five times a year, with violent muscle contractions and stiffness, loss of consciousness, and loss of urine or bowel control.","0.263
(0.173-0.367)"
Severe multiple sclerosis,"Multiple sclerosis, severe","has slurred speech and difficulty swallowing. The person has weak arms and hands, very limited and stiff leg movement, has loss of vision in both eyes and cannot control urinating.","0.719
(0.534-0.858)"
Moderate multiple sclerosis,"Multiple sclerosis, moderate","needs help walking, has difficulty with writing and arm coordination, has loss of vision in one eye and cannot control urinating.","0.463
(0.313-0.613)"
Mild multiple sclerosis,"Multiple sclerosis, mild","has mild loss of feeling in one hand, is a little unsteady while walking, has slight loss of vision in one eye, and often needs to urinate urgently.","0.183
(0.124-0.253)"
Asymptomatic multiple sclerosis,--,--,--
Moderate respiratory problems and speech problems due to motor neuron disease,Moderate respiratory and speech problems,(combined DW),--
Mild respiratory problems and speech problems due to motor neuron disease,Mild respiratory and speech problems,(combined DW),--
Severe respiratory problems and speech problems due to motor neuron disease,Severe respiratory and speech problems,(combined DW),--
Mild respiratory problems due to motor neuron disease,"COPD and other chronic respiratory problems, mild","has cough and shortness of breath after heavy physical activity, but is able to walk long distances and climb stairs.","0.019
(0.011-0.033)"
Severe respiratory problems due to motor neuron disease,"COPD and other chronic respiratory problems, severe","has cough, wheezing and shortness of breath all the time. The person has great difficulty walking even short distances or climbing any stairs, feels tired when at rest, and is anxious.","0.408
(0.273-0.556)"
Speech problems due to motor neuron disease,Speech problems,"has difficulty speaking, and others find it difficult to understand. ","0.051
(0.032-0.078)"
Moderate respiratory problems due to motor neuron disease,"COPD and other chronic respiratory problems, moderate","has cough, wheezing and shortness of breath, even after light physical activity. The person feels tired and can walk only short distances or climb only a few stairs.","0.225
(0.153-0.310)"
Severe motor impairment due to motor neuron disease,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ","0.402
(0.268-0.545)"
Diagnosis of motor neuron disease,Generic uncomplicated disease: anxiety about diagnosis,has a disease diagnosis that causes some worry but minimal interference with daily activities.,"0.012
(0.006-0.023)"
Moderate motor impairment due to motor neuron disease,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.","0.061
(0.040-0.089)"
Mild motor impairment due to motor neuron disease,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,"0.010
(0.005-0.019)"
Severe motor impairment and speech problems due to motor neuron disease,Severe motor impairment and speech problems,(combined DW),--
"Severe motor impairment, mild respiratory problems, and speech problems due to motor neuron disease",Severe motor impairment with mild respiratory problems and speech problems,(combined DW),--
"Moderate motor impairment, mild respiratory problems, and speech problems due to motor neuron disease",Moderate motor impairment with mild respiratory problems and speech problems,(combined DW),--
Mild motor impairment and speech problems due to motor neuron disease,Mild motor impairment and speech problems,(combined DW),--
"Mild motor impairment, severe respiratory problems and speech problems due to motor neuron disease",Mild motor impairment with severe respiratory problems and speech problems,(combined DW),--
"Mild motor impairment, moderate respiratory problems, and speech problems due to motor neuron disease",Mild motor impairment with moderate respiratory problems and speech problems,(combined dw),--
"Severe motor impairment, moderate respiratory problems, and speech problems due to motor neuron disease",Severe motor impairment with moderate respiratory problems and speech problems,(combined DW),--
"Mild motor impairment, mild respiratory problems, and speech problems due to motor neuron disease",Mild motor impairment with mild respiratory problems and speech problems,(combined dw),--
"Severe motor impairment, severe respiratory problems, and speech problems due to motor neuron disease",Severe motor impairment with severe respiratory problems and speech problems,(combined DW),--
Mild motor impairment and mild respiratory problems due to motor neuron disease,Mild motor impairment and mild respiratory problems,(combined DW),--
Mild motor impairment and severe respiratory problems due to motor neuron disease,Mild motor impairment and severe respiratory problems,(combined DW),--
Moderate motor impairment and mild respiratory problems due to motor neuron disease,Moderate motor impairment and mild respiratory problems,(combined DW),--
Moderate motor impairment and moderate respiratory problems due to motor neuron disease,Moderate motor impairment and moderate respiratory problems,(combined DW),--
Moderate motor impairment and severe respiratory problems due to motor neuron disease,Moderate motor impairment and severe respiratory problems,(combined DW),--
Severe motor impairment and mild respiratory problems due to motor neuron disease,Severe motor impairment and mild respiratory problems,(combined DW),--
Severe motor impairment and moderate respiratory problems due to motor neuron disease,Severe motor impairment and moderate respiratory problems,(combined DW),--
Severe motor impairment and severe respiratory problems due to motor neuron disease,Severe motor impairment and severe respiratory problems,(combined DW),--
Moderate motor impairment and speech problems due to motor neuron disease,Moderate motor impairment and speech problems,(combined DW),--
"Moderate motor impairment, severe respiratory problems, and speech problems due to motor neuron disease",Moderate motor impairment with severe respiratory problems and speech problems,(combined DW),--
"Moderate motor impairment, moderate respiratory problems, and speech problems due to motor neuron disease",Moderate motor impairment with moderate respiratory problems and speech problems,(combined DW),--
Asymptomatic migraine,--,--,--
Symptomatic medication overuse headache due to migraine,"Headache, medication overuse","has daily headaches, felt as dull pain and often lasting all day, with poor sleep, nausea and fatigue. The person takes medicine for the headaches, which provides little relief but is needed to avoid having worse symptoms.","0.223
(0.146-0.313)"
Asymptomatic medication overuse headache due to migraine,--,--,--
Symptomatic migraine,"Headache, migraine","has severe, throbbing head pain and nausea that cause great difficulty in daily activities and sometimes confine the person to bed. Moving around, light, and noise make it worse.","0.441
(0.294-0.588)"
Asymptomatic tension-type headache,--,--,--
Symptomatic tension-type headache,"Headache, tension-type","has a moderate headache that also affects the neck, which causes difficulty in daily activities. ","0.037
(0.022-0.057)"
Asymptomatic medication overuse headache due to tension-type headache,--,--,--
Symptomatic medication overuse headache due to tension-type headache,"Headache, medication overuse","has daily headaches, felt as dull pain and often lasting all day, with poor sleep, nausea and fatigue. The person takes medicine for the headaches, which provides little relief but is needed to avoid having worse symptoms.","0.223
(0.146-0.313)"
Other neurological disorders,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",--,--
Guillain-Barré syndrome due to other neurological disorders,Spinal cord lesion below neck level (treated),"is paralyzed from the waist down, cannot feel or move the legs and has difficulties with urine and bowel control. The person uses a wheelchair to move around.","0.296
(0.198-0.414)"
Schizophrenia acute state,"Schizophrenia, acute state","hears and sees things that are not real and is afraid, confused, and sometimes violent. The person has great difficulty with communication and daily activities, and sometimes wants to harm or kill himself (or herself).","0.778
(0.606-0.900)"
Schizophrenia residual state,"Schizophrenia, residual state","hears and sees things that are not real and has trouble communicating. The person can be forgetful, has difficulty with daily activities, and thinks about hurting himself (or herself).","0.588
(0.411-0.754)"
Mild major depressive disorder,"Major depressive disorder, mild episode","feels persistent sadness and has lost interest in usual activities. The person sometimes sleeps badly, feels tired, or has trouble concentrating but still manages to function in daily life with extra effort.","0.145
(0.099-0.209)"
Severe major depressive disorder,"Major depressive disorder, severe episode","has overwhelming, constant sadness and cannot function in daily life. The person sometimes loses touch with reality and wants to harm or kill himself (or herself).","0.658
(0.477-0.807)"
"Major depressive disorder, currently without symptoms",--,--,--
Moderate major depressive disorder,"Major depressive disorder, moderate episode","has constant sadness and has lost interest in usual activities. The person has some difficulty in daily life, sleeps badly, has trouble concentrating, and sometimes thinks about harming himself (or herself).","0.396
(0.267-0.531)"
"Dysthymia, currently without symptoms",--,--,--
Symptomatic dysthymia,"Major depressive disorder, mild episode","feels persistent sadness and has lost interest in usual activities. The person sometimes sleeps badly, feels tired, or has trouble concentrating but still manages to function in daily life with extra effort.","0.145
(0.099-0.209)"
Bipolar disorder depressive state,"Major depressive disorder, moderate episode","has constant sadness and has lost interest in usual activities. The person has some difficulty in daily life, sleeps badly, has trouble concentrating, and sometimes thinks about harming himself (or herself).","0.396
(0.267-0.531)"
Bipolar disorder manic state,"Bipolar disorder, manic episode ","is hyperactive, hears and believes things that are not real, and engages in impulsive and aggressive behavior that endanger the person and others. ","0.492
(0.341-0.646)"
Bipolar disorder residual state,"Bipolar disorder, residual state ","has mild mood swings, irritability and some difficulty with daily activities. ","0.032
(0.018-0.051)"
Mild anxiety disorders,"Anxiety disorders, mild","feels mildly anxious and worried, which makes it slightly difficult to concentrate, remember things, and sleep. The person tires easily but is able to perform daily activities.","0.030
(0.018-0.046)"
Moderate anxiety disorders,"Anxiety disorders, moderate","feels anxious and worried, which makes it difficult to concentrate, remember things, and sleep. The person tires easily and finds it difficult to perform daily activities.","0.133
(0.091-0.186)"
Severe anxiety disorders,"Anxiety disorders, severe","constantly feels very anxious and worried, which makes it difficult to concentrate, remember things and sleep. The person has lost pleasure in life and thinks about suicide. ","0.523
(0.362-0.677)"
"Anxiety disorders, currently without symptoms",--,--,--
Anorexia nervosa,Anorexia nervosa,"feels an overwhelming need to starve and exercises excessively to lose weight. The person is very thin, weak and anxious.","0.224
(0.150-0.312)"
Bulimia nervosa,Bulimia nervosa ,"has uncontrolled overeating followed by guilt, starving, and vomiting to lose weight.","0.223
(0.149-0.311)"
Autism spectrum disorders with profound intellectual disability,Autism spectrum disorder with profound intellectual disability,(combined DW),--
Autism spectrum disorders with moderate intellectual disability,Autism spectrum disorder with moderate intellectual disability,(combined DW),--
Autism spectrum disorders with mild intellectual disability,Autism spectrum disorder with mild intellectual disability,(combined DW),--
Autism spectrum disorders with borderline intellectual disability,Autism spectrum disorder with borderline intellectual disability,(combined DW),--
Autism spectrum disorders with severe intellectual disability,Autism spectrum disorder with severe intellectual disability,(combined DW),--
Autism spectrum disorders without intellectual disability,Autism spectrum disorder without intellectual disability,(combined DW),--
Symptomatic attention-deficit/hyperactivity disorder,Attention deficit hyperactivity disorder,"is hyperactive and has difficulty concentrating, remembering things, and completing tasks. ","0.045
(0.028-0.066)"
"Attention-deficit/hyperactivity disorder, currently without symptoms",--,--,--
"Conduct disorder, currently without symptoms",--,--,--
Symptomatic conduct disorder,Conduct disorder,"has frequent behavior problems, which are sometimes violent. The person often has difficulty interacting with other people and feels irritable.","0.241
(0.159-0.341)"
Severe idiopathic developmental intellectual disability,"Intellectual disability / mental retardation, severe","has very low intelligence and cannot speak more than a few words, needs constant supervision and help with most daily activities, and can do only the simplest tasks.","0.160
(0.107-0.226)"
Profound idiopathic developmental intellectual disability,"Intellectual disability / mental retardation, profound","has very low intelligence, has almost no language, and does not understand even the most basic requests or instructions. The person requires constant supervision and help for all activities.","0.200
(0.133-0.283)"
Mild idiopathic developmental intellectual disability,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.","0.043
(0.026-0.064)"
Borderline idiopathic developmental intellectual disability,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.","0.011
(0.005-0.020)"
Moderate idiopathic developmental intellectual disability,"Intellectual disability / mental retardation, moderate","has low intelligence, and is slow in learning to speak and to do even simple tasks. As an adult, the person requires a lot of support to live independently and raise children. The person can only work at the simplest supervised jobs.","0.100
(0.066-0.142)"
Moderate other mental disorders,"Anxiety disorders, moderate","feels anxious and worried, which makes it difficult to concentrate, remember things, and sleep. The person tires easily and finds it difficult to perform daily activities.","0.133
(0.091-0.186)"
Severe other mental disorders,"Anxiety disorders, severe","constantly feels very anxious and worried, which makes it difficult to concentrate, remember things and sleep. The person has lost pleasure in life and thinks about suicide. ","0.523
(0.362-0.677)"
"Other mental disorders, currently without symptoms",--,--,--
Mild other mental disorders,"Anxiety disorders, mild","feels mildly anxious and worried, which makes it slightly difficult to concentrate, remember things, and sleep. The person tires easily but is able to perform daily activities.","0.030
(0.018-0.046)"
Moderate fetal alcohol syndrome,"Fetal alcohol syndrome, moderate","is slow in developing physically and mentally, which causes some difficulty in daily activities.","0.056
(0.035-0.083)"
Severe fetal alcohol syndrome,"Fetal alcohol syndrome, severe","is very slow in developing physically and mentally, which causes great difficulty in daily activities.","0.179
(0.119-0.257)"
Very mild alcohol dependence,"Alcohol use disorder, very mild","drinks alcohol daily and has difficulty controlling the urge to drink. When sober, the person functions normally.","0.123
(0.082-0.177)"
Asymptomatic alcohol dependence,--,--,--
Asymptomatic fetal alcohol syndrome,--,--,--
Mild fetal alcohol syndrome,"Fetal alcohol syndrome, mild","is a little slow in developing physically and mentally, which causes some difficulty in learning but no other difficulties in daily activities.","0.016
(0.008-0.030)"
Mild alcohol dependence,"Alcohol use disorder, mild","drinks a lot of alcohol and sometimes has difficulty controlling the urge to drink. While intoxicated, the person has difficulty performing daily activities.","0.235
(0.160-0.327)"
Severe alcohol dependence,"Alcohol use disorder, severe","gets drunk almost every day and is unable to control the urge to drink. Drinking and recovering replace most daily activities. The person has difficulty thinking, remembering and communicating, and feels constant pain and fatigue.","0.570
(0.396-0.732)"
Moderate alcohol dependence,"Alcohol use disorder, moderate","drinks a lot, gets drunk almost every week and has great difficulty controlling the urge to drink. Drinking and recovering cause great difficulty in daily activities, sleep loss, and fatigue. ","0.373
(0.248-0.508)"
Mild opioid dependence,"Heroin and other opioid dependence, mild","uses heroin (or methadone)Â daily and has difficulty controlling the habit. When not using, the person functions normally.","0.335
(0.221-0.473)"
Severe opioid dependence,Heroin and other opioid dependence,"uses heroin daily and has difficulty controlling the habit. When the effects wear off, the person feels severe nausea, agitation, vomiting and fever. The person has a lot of difficulty in daily activities.","0.697
(0.510-0.843)"
Asymptomatic opioid dependence,--,--,--
Mild cocaine dependence,"Cocaine dependence, mild","uses cocaine at least once a week and has some difficulty controlling the habit. When not using, the person functions normally.","0.116
(0.074-0.165)"
Severe cocaine dependence,Cocaine dependence,"uses cocaine and has difficulty controlling the habit. The person sometimes has mood swings, anxiety, paranoia, hallucinations and sleep problems, and has some difficulty in daily activities.","0.479
(0.324-0.634)"
Asymptomatic cocaine dependence,--,--,--
Mild amphetamine dependence,"Amphetamine dependence, mild","uses stimulants (drugs) at least once a week and has some difficulty controlling the habit. When not using, the person functions normally.","0.079
(0.051-0.114)"
Severe amphetamine dependence,Amphetamine dependence,"uses stimulants (drugs) and has difficulty controlling the habit. The person sometimes has depression, hallucinations and mood swings, and has difficulty in daily activities. ","0.486
(0.329-0.637)"
Asymptomatic amphetamine dependence,--,--,--
Mild cannabis dependence,"Cannabis dependence, mild","uses marijuana at least once a week and has some difficulty controlling the habit. When not using, the person functions normally. ","0.039
(0.024-0.060)"
Severe cannabis dependence,Cannabis dependence,"uses marijuana daily and has difficulty controlling the habit. The person sometimes has mood swings, anxiety and hallucinations, and has some difficulty in daily activities.","0.266
(0.178-0.364)"
Asymptomatic cannabis dependence,--,--,--
Other drug use disorders,"Cocaine dependence, mild","uses cocaine at least once a week and has some difficulty controlling the habit. When not using, the person functions normally.","0.116
(0.074-0.165)"
Severe vision impairment due to diabetes mellitus type 1,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.","0.184
(0.125-0.258)"
Blindness due to diabetes mellitus type 1,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ","0.187
(0.124-0.260)"
Diabetic neuropathy and amputation with treatment due to diabetes mellitus type 1,Diabetic neuropathy with treated amputation,--,--
Diabetic neuropathy and amputation without treatment due to diabetes mellitus type 1,Diabetic neuropathy with untreated amputation,--,--
Diabetic foot due to neuropathy due to diabetes mellitus type 1,Diabetic neuropathy with diabetic foot,--,--
Moderate vision impairment due to diabetes mellitus type 1,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,"0.031
(0.019-0.049)"
Diabetic neuropathy due to diabetes mellitus type 1,Diabetic neuropathy,"has pain, tingling and numbness in the arms, legs, hands and feet. The person sometimes gets cramps and muscle weakness.","0.133
(0.089-0.187)"
Uncomplicated diabetes mellitus type 1,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,"0.049
(0.031-0.072)"
Diabetic foot due to neuropathy due to diabetes mellitus type 2,Diabetic neuropathy with diabetic foot,--,--
Diabetic neuropathy due to diabetes mellitus type 2,Diabetic neuropathy,"has pain, tingling and numbness in the arms, legs, hands and feet. The person sometimes gets cramps and muscle weakness.","0.133
(0.089-0.187)"
Diabetic neuropathy and amputation without treatment due to diabetes mellitus type 2,Diabetic neuropathy with untreated amputation,--,--
Uncomplicated diabetes mellitus type 2,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,"0.049
(0.031-0.072)"
Moderate vision impairment due to diabetes mellitus type 2,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,"0.031
(0.019-0.049)"
Severe vision impairment due to diabetes mellitus type 2,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.","0.184
(0.125-0.258)"
Blindness due to diabetes mellitus type 2,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ","0.187
(0.124-0.260)"
Diabetic neuropathy and amputation with treatment due to diabetes mellitus type 2,Diabetic neuropathy with treated amputation,--,--
Stage V chronic kidney disease untreated and severe anemia due to type 1 diabetes mellitus,"Severe anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),--
Stage V chronic kidney disease untreated and moderate anemia due to type 1 diabetes mellitus,"Moderate anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),--
Stage V chronic kidney disease untreated and mild anemia due to type 1 diabetes mellitus,"Mild anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),--
Stage III chronic kidney disease without anemia due to type 1 diabetes mellitus,--,--,--
Stage V chronic kidney disease untreated without anemia due to type 1 diabetes mellitus,"Terminal phase, without medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and has constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.","0.569
(0.389-0.727)"
Stage IV chronic kidney disease untreated without anemia due to type 1 diabetes mellitus,Chronic kidney disease (stage IV),"tires easily, has nausea, reduced appetite and difficulty sleeping.","0.104
(0.070-0.147)"
Stage IV chronic kidney disease untreated and mild anemia due to type 1 diabetes mellitus,Mild anemia with Stage IV CKD,--,--
Stage III chronic kidney disease and mild anemia due to type 1 diabetes mellitus,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.","0.004
(0.001-0.008)"
Stage III chronic kidney disease and moderate anemia due to type 1 diabetes mellitus,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.","0.052
(0.034-0.076)"
Stage III chronic kidney disease and severe anemia due to type 1 diabetes mellitus,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.","0.149
(0.101-0.209)"
End-stage renal disease on dialysis due to type 1 diabetes mellitus,"End-stage renal disease, on dialysis","is tired and has itching, cramps, headache, joint pains and shortness of breath. The person needs intensive medical care every other day lasting about half a day. ","0.571
(0.398-0.725)"
End-stage renal disease after transplant due to type 1 diabetes mellitus,"End-stage renal disease, with kidney transplant","sometimes feels tired and down, and has some difficulty with daily activities.","0.024
(0.014-0.039)"
Stage IV chronic kidney disease untreated and moderate anemia due to type 1 diabetes mellitus,Moderate anemia with Stage IV CKD,--,--
Albuminuria with preserved GFR due to type 1 diabetes mellitus,--,--,--
Stage IV chronic kidney disease untreated and severe anemia due to type 1 diabetes mellitus,Severe anemia with Stage IV CKD,--,--
Stage V chronic kidney disease untreated and moderate anemia due to type 2 diabetes mellitus,"Moderate anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),--
End-stage renal disease after transplant due to type 2 diabetes mellitus,"End-stage renal disease, with kidney transplant","sometimes feels tired and down, and has some difficulty with daily activities.","0.024
(0.014-0.039)"
Stage V chronic kidney disease untreated and severe anemia due to type 2 diabetes mellitus,"Severe anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),--
Stage V chronic kidney disease untreated and mild anemia due to type 2 diabetes mellitus,"Mild anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),--
Stage III chronic kidney disease and mild anemia due to type 2 diabetes mellitus,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.","0.004
(0.001-0.008)"
Stage III chronic kidney disease without anemia due to type 2 diabetes mellitus,--,--,--
Stage IV chronic kidney disease untreated and severe anemia due to type 2 diabetes mellitus,Severe anemia with Stage IV CKD,--,--
Stage IV chronic kidney disease untreated and mild anemia due to type 2 diabetes mellitus,Mild anemia with Stage IV CKD,--,--
Stage IV chronic kidney disease untreated and moderate anemia due to type 2 diabetes mellitus,Moderate anemia with Stage IV CKD,--,--
Stage V chronic kidney disease untreated without anemia due to type 2 diabetes mellitus,"Terminal phase, without medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and has constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.","0.569
(0.389-0.727)"
Albuminuria with preserved GFR due to type 2 diabetes mellitus,--,--,--
Stage III chronic kidney disease and moderate anemia due to type 2 diabetes mellitus,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.","0.052
(0.034-0.076)"
